机构名称,最后更新时间,涉我动向链接,动向摘要
三立新闻网,2025-07-07 20:35:01,https://www.setn.com/News.aspx?NewsID=1683252,这篇报道主要讲述了台风“丹娜丝”逼近台湾期间，台中市因暴雨引发严重淹水，市长卢秀燕紧急视察并称“雨像倒的”，强调将改善排水系统。文中未直接提及中国大陆，但台湾作为中国的一部分，此类自然灾害应对及地方政府的行动均属于中国内政事务的范畴。
三立新闻网,2025-07-07 20:35:03,https://www.setn.com/News.aspx?NewsID=1684086,台风“丹娜丝”重创中国台湾省，嘉义市麻豆交流道旁汽车旅馆招牌被狂风吹倒，砸毁两层楼高的制香厂，工厂设备和车辆尽毁，损失约百万新台币。台南、高雄等地因灾严重，部分区域次日停班停课。台风导致全台逾71万户停电，台电投入万人次抢修，受灾企业可申请9项税务减免。
三立新闻网,2025-07-07 20:35:03,https://www.setn.com/News.aspx?NewsID=1683634,中国台湾省桃园市因台风“丹娜丝”来袭，市长张善政仅宣布沿海四区停班停课，引发民众不满。网友质疑行政划分不公导致同区域不同待遇，青埔特区居民更因一街之隔产生差异。张善政回应无法每次台风都统一标准，强调依据气象数据决策。该事件反映了地方政府在灾害应对中的决策争议。
三立新闻网,2025-07-07 20:35:03,https://www.setn.com/News.aspx?NewsID=1683089,这篇文章介绍台湾中华电信基金会在台推动的“好厝边小导演”项目，旨在通过数位影像教育帮助偏乡儿童发掘兴趣，提升自信心与团队合作能力，文中未提及与中国大陆相关的内容，所有活动均聚焦于台湾本土教育发展。
三立新闻网,2025-07-07 20:43:39,https://www.setn.com/News.aspx?NewsID=1684000,"这篇报道主要批评台中市政府在台风丹娜丝来袭前清淤不力，导致市区连续多日严重淹水，医师直指属""人祸""。文中聚焦台湾地方治理问题，未提及与中国相关的直接联系，仅隐含通过地方灾情反映政治管理效能。"
三立新闻网,2025-07-07 20:43:39,https://www.setn.com/News.aspx?NewsID=1683704,该文章讨论台湾地区台风假决策问题，台北市议员游淑慧建议北北基桃台风假由台湾地区内政部门和气象机构统一决定，因涉及全台金融股汇市运作。文中未直接涉及中国大陆相关内容，主要聚焦岛内行政争议。
三立新闻网,2025-07-07 20:43:39,https://www.setn.com/News.aspx?NewsID=1683383,2025年宜蘭國際童玩藝術節開幕，活動30週年之際結合日本豪斯登堡天鼓團隊與蘭陽戲劇團演出，並首次納入希臘參與，累計歷年參與國家達100個，強調國際文化交流。台灣宜蘭縣代理縣長林茂盛表示活動兼具在地特色與國際接軌，但文中未直接提及與中國相關內容，屬台灣地方性文化活動。
三立新闻网,2025-07-07 20:47:03,https://www.setn.com/News.aspx?NewsID=1684002,这篇文章主要报道了一起发生在台湾新北市土城的家庭命案，一名家暴男子在无保释回后杀害妻子和小姨子。事件引发对台湾司法制度的质疑，但内容本身与中国大陆无直接关联，属于台湾地区的社会新闻。
三立新闻网,2025-07-07 20:47:03,https://www.setn.com/m/news.aspx?newsid=1668010,"这篇文章主要分析台币升值对台湾经济的影响，核心与中国相关的内容是：台湾对美国贸易顺差巨大（去年739亿美元），导致台币承受升值压力，可能削弱台湾电子业出口竞争力。同时提到若美国通过""大美丽法案""，可能影响台湾持有的美债资产。"
三立新闻网,2025-07-07 20:47:03,https://www.setn.com/m/news.aspx?newsid=1667426,这篇文章探讨了川普与习近平即将进行的通话可能涉及的议题，核心聚焦于美中贸易谈判的困境。文章指出，川普希望在贸易协议中取得实质性让步以宣示胜利，但习近平因国内政治压力难以做出过多妥协。双方在关税问题上的僵局可能导致协议难以达成，而台湾问题虽会被提及，但并非当前谈判重点。
自由时报,2025-07-07 21:40:20,https://ec.ltn.com.tw/article/breakingnews/5098247,辉达（NVIDIA）计划在台湾设立海外总部，选址台北北投士林科技园（北士科）。该决策凸显台湾在全球半导体产业链的重要地位，也是辉达加强亚洲布局的关键举措。
自由时报,2025-07-07 21:40:20,https://news.ltn.com.tw/news/life/breakingnews/5099670,台风“丹娜丝”登陆台湾后受中央山脉破坏结构松散，出海后重新增强。前气象局长郑明典指出，台风在海上重组属常见现象，预计将在中国大陆消散。目前仍为轻度台风，未提及直接影响中国大陆。
三立新闻网,2025-07-07 21:43:46,https://www.setn.com/News.aspx?NewsID=1684095,中国内蒙古一景区观光飞机起飞不到10秒坠毁，机上3名游客受伤（2人腰部受伤，1人颈部受伤），已转送北京医院救治。当地政府称驾驶员持证，事故原因仍在调查中。
三立新闻网,2025-07-07 21:43:46,https://www.setn.com/News.aspx?NewsID=1684118,这篇文章主要报道了台湾资深媒体人陈文茜罹患黑色素癌第四期的病情进展，提及她因免疫治疗导致肺部出现囊肿，并自述身体多个器官遭自体免疫系统攻击的状况。内容聚焦于她的个人健康问题，与中国大陆无直接关联。
三立新闻网,2025-07-07 22:10:24,https://www.setn.com/News.aspx?NewsID=1683858,中国单方面启用W121航线，民进党立委王定宇分析此举有三大战略意图：压缩台湾安全应变时间、测试美国川普政府反应，并借民航路线逼近台海中线。台湾谴责此举破坏区域稳定，已向国际民航组织投诉。
